open,high,low,close,volume,close_time,quote,takers_buy_base,takers_buy_quote,predicted_close,actual_close,abs_error
5229.31,5376.83,5205.09,5362.99,8325.079552,2020-03-17 10:59:59.999000-05:00,44112869.91493391,4213.051171,22328482.48531297,0.036191553,0.03403714,0.0021544136
5354.49,5420.0,5335.71,5367.79,5175.880376,2020-03-17 13:59:59.999000-05:00,27836760.58970147,2675.938177,14394499.69282351,0.032182693,0.037678532,0.005495839
5368.85,5399.99,5315.0,5375.11,4168.468986,2020-03-17 14:59:59.999000-05:00,22303337.58798318,1967.589191,10530474.92686988,0.033804864,0.038374968,0.004570104
5375.25,5453.0,5330.0,5429.54,4682.229609,2020-03-17 15:59:59.999000-05:00,25260855.86765001,2257.705712,12189159.83316146,0.033917308,0.038059432,0.004142124
5429.66,5525.0,5356.0,5426.06,6674.789066,2020-03-17 16:59:59.999000-05:00,36303493.86485604,3451.83385,18796508.23610733,0.031571567,0.03828797,0.006716404
5425.98,5450.0,5369.15,5424.75,3200.224216,2020-03-17 17:59:59.999000-05:00,17305125.08385973,1457.49866,7882768.01262842,0.03270024,0.038684107,0.0059838668
5423.72,5438.0,5305.59,5312.64,3471.519588,2020-03-17 18:59:59.999000-05:00,18705630.85970127,1561.221266,8417343.22781342,0.03962478,0.03888446,0.0007403195
5312.64,5419.03,5268.8,5355.78,5234.535066,2020-03-17 19:59:59.999000-05:00,27991299.05781185,2529.251646,13529664.45613336,0.038389653,0.03791606,0.00047359243
5255.37,5255.37,5104.92,5148.73,6177.681676,2020-03-18 02:59:59.999000-05:00,31913939.91794174,2755.838372,14241124.94597847,0.03845513,0.036002576,0.0024525523
5340.63,5390.0,5275.0,5301.06,9615.059062,2020-03-18 09:59:59.999000-05:00,51329623.44276761,4407.657145,23539256.49417542,0.0313558,0.033402864,0.0020470656
5302.07,5370.0,5225.58,5328.89,7952.136267,2020-03-18 10:59:59.999000-05:00,41991050.74735529,3921.039659,20715138.6477395,0.028224975,0.037449993,0.009225018
5328.59,5349.0,5150.0,5199.59,11322.268586,2020-03-18 11:59:59.999000-05:00,59280539.35066095,5199.622227,27233971.73614608,0.036961764,0.036697034,0.0002647303
5198.04,5259.0,5140.54,5225.23,7540.597344,2020-03-18 12:59:59.999000-05:00,39210779.1220637,3548.613021,18458426.21414786,0.03650379,0.035545498,0.0009582937
5594.99,5661.0,5530.47,5560.91,10553.311559,2020-03-19 05:59:59.999000-05:00,59079448.34185039,5219.531857,29232955.35690616,0.037982017,0.039255913,0.0012738965
5561.79,5632.95,5545.0,5621.86,5421.366933,2020-03-19 06:59:59.999000-05:00,30278858.41212364,2662.013859,14870444.42915102,0.026239246,0.041342326,0.015103079
5622.15,5848.68,5608.21,5848.68,15957.275347,2020-03-19 07:59:59.999000-05:00,91609388.9605666,8232.526731,47278119.70423846,0.041148752,0.041563705,0.00041495264
5848.71,5880.22,5685.14,5842.96,15674.171301,2020-03-19 08:59:59.999000-05:00,91012617.3257904,7215.768125,41909309.94692537,0.03439179,0.042526767,0.008134976
5842.34,5878.0,5748.44,5808.5,8124.863043,2020-03-19 09:59:59.999000-05:00,47219858.44739547,3726.017193,21668543.64750847,0.031002283,0.04369887,0.012696587
5808.5,5920.0,5805.37,5895.1,8484.790163,2020-03-19 10:59:59.999000-05:00,49808362.69849353,4550.440365,26718252.10969485,0.04328513,0.044663306,0.0013781749
5895.71,6292.25,5798.26,6164.03,30003.918608,2020-03-19 11:59:59.999000-05:00,182494701.83294392,15990.171151,97247457.808322,0.05078289,0.04553069,0.0052521974
6163.79,6359.45,6133.92,6308.45,15307.606566,2020-03-19 12:59:59.999000-05:00,95529618.45284662,7720.234571,48191632.76820985,0.03600043,0.045422364,0.009421933
6307.34,6327.25,6120.0,6137.0,12064.773096,2020-03-19 13:59:59.999000-05:00,74941017.79378504,5538.48815,34413708.50745821,0.04826978,0.050536465,0.0022666864
6136.61,6240.0,6079.69,6215.57,7883.196719,2020-03-19 14:59:59.999000-05:00,48579651.88170138,3589.78411,22125938.84200897,0.05960232,0.05032438,0.00927794
6216.08,6239.98,6155.0,6237.08,3524.41298,2020-03-19 15:59:59.999000-05:00,21835023.38217783,1671.860188,10359860.2803705,0.04661113,0.049710218,0.0030990876
6237.08,6268.08,6185.0,6237.16,3243.480292,2020-03-19 16:59:59.999000-05:00,20182601.85685353,1668.421806,10385167.10502649,0.046201378,0.05085764,0.0046562627
6237.7,6400.0,6217.75,6278.63,8281.556952,2020-03-19 17:59:59.999000-05:00,52241132.92131645,4204.383625,26524727.49069516,0.04976034,0.05131472,0.0015543774
6278.39,6315.26,6125.76,6162.37,6975.06905,2020-03-19 18:59:59.999000-05:00,43253220.60974838,3218.112069,19956822.42589434,0.048041165,0.051813696,0.0037725307
6162.05,6269.24,6161.08,6219.15,4583.381861,2020-03-19 19:59:59.999000-05:00,28500022.80012938,2155.200181,13404277.99191731,0.051041335,0.05041214,0.0006291941
6219.15,6233.25,6055.55,6160.5,5531.393631,2020-03-19 20:59:59.999000-05:00,33957364.46723646,2416.541861,14842871.75884756,0.04966268,0.050950274,0.0012875944
6159.83,6200.0,6132.36,6150.04,3054.533129,2020-03-19 21:59:59.999000-05:00,18843416.52346803,1355.524847,8363133.99874961,0.0503453,0.049342424,0.001002878
6150.04,6168.99,6112.45,6156.35,2333.493522,2020-03-19 22:59:59.999000-05:00,14327846.96478257,1190.671664,7313111.42292244,0.050862253,0.050512698,0.00034955516
6156.42,6229.9,6115.99,6199.84,3290.499607,2020-03-19 23:59:59.999000-05:00,20311348.97426766,1767.378279,10913475.36714648,0.05088958,0.05020935,0.00068023056
6199.8,6287.95,6184.94,6218.72,3361.264186,2020-03-20 00:59:59.999000-05:00,20977407.78376766,1471.034526,9179905.51869352,0.051219165,0.050263286,0.0009558797
6218.55,6250.0,6178.01,6240.0,3027.07169,2020-03-20 01:59:59.999000-05:00,18814019.34521576,1445.525686,8985477.70584494,0.051622838,0.051313806,0.00030903146
6239.99,6350.0,6211.02,6318.39,5195.840018,2020-03-20 02:59:59.999000-05:00,32667458.68722394,2754.070297,17318433.25491789,0.05199313,0.05120822,0.0007849112
6318.41,6770.0,6310.58,6601.45,21232.769938,2020-03-20 03:59:59.999000-05:00,139152357.94861194,11302.908407,74048076.01853639,0.051858842,0.051711157,0.00014768541
6601.45,6757.01,6560.0,6756.62,10869.793558,2020-03-20 04:59:59.999000-05:00,72303695.42804186,5494.296153,36557442.5454856,0.05060634,0.05322805,0.0026217103
